,"Top countries: USA, UK",,,,,,,,,,,,,,,,,,,,,,,
,IR,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,15%,20%,25%,30%,40%,50%,60%,70%,80%,90%,100%,,
LOI,5, $15.60 , $11.70 , $9.10 , $6.50 , $5.53 , $4.88 , $4.55 , $3.90 , $3.25 , $2.93 , $2.60 , $2.34 , $2.28 , $2.08 , $1.95 , $1.69 , $1.30 , $1.17 , $0.91 , $0.78 , $0.65 ,,
,10, $17.55 , $13.00 , $10.40 , $8.45 , $7.15 , $6.50 , $5.85 , $4.88 , $3.90 , $3.25 , $2.80 , $2.60 , $2.54 , $2.47 , $2.21 , $1.95 , $1.63 , $1.30 , $1.17 , $1.04 , $0.91 ,,
,15, $19.50 , $15.60 , $13.00 , $10.40 , $7.80 , $7.48 , $7.15 , $6.24 , $4.55 , $4.23 , $3.58 , $3.12 , $2.93 , $2.73 , $2.47 , $2.21 , $1.82 , $1.56 , $1.30 , $1.17 , $1.04 ,,
,20, $22.10 , $17.55 , $14.30 , $11.38 , $8.78 , $8.13 , $7.80 , $7.15 , $6.50 , $5.72 , $4.88 , $4.23 , $3.90 , $3.58 , $2.93 , $2.60 , $2.21 , $1.95 , $1.82 , $1.63 , $1.30 ,,
,25, $23.40 , $18.85 , $15.60 , $13.00 , $9.43 , $8.78 , $8.45 , $8.14 , $7.80 , $7.15 , $6.18 , $5.53 , $5.20 , $4.88 , $4.55 , $4.23 , $3.58 , $3.25 , $2.60 , $2.28 , $1.95 ,,
,30, $26.00 , $21.13 , $18.20 , $15.60 , $11.70 , $9.75 , $9.43 , $9.10 , $8.78 , $8.13 , $7.15 , $6.50 , $6.50 , $5.53 , $5.85 , $5.53 , $4.23 , $3.58 , $2.93 , $2.60 , $2.28 ,,
,35, $27.30 , $22.10 , $19.50 , $16.90 , $14.30 , $11.70 , $10.40 , $9.75 , $9.43 , $9.10 , $8.78 , $8.13 , $7.48 , $6.83 , $6.50 , $5.85 , $5.53 , $5.20 , $3.90 , $3.25 , $2.60 ,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Tier 1: France, Germany, Itlay, Spain, Brazil",,,,,,,,,,,,,,,,,,,,,,,
,IR,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,15%,20%,25%,30%,40%,50%,60%,70%,80%,90%,100%,,
LOI,5, $19.50 , $14.63 , $11.38 , $8.13 , $6.91 , $6.09 , $5.69 , $4.88 , $4.06 , $3.66 , $3.25 , $2.93 , $2.84 , $2.60 , $2.44 , $2.11 , $1.63 , $1.46 , $1.14 , $0.98 , $0.81 ,,
,10, $21.94 , $16.25 , $13.00 , $10.56 , $8.94 , $8.13 , $7.31 , $6.09 , $4.88 , $4.06 , $3.49 , $3.25 , $3.17 , $3.09 , $2.76 , $2.44 , $2.03 , $1.63 , $1.46 , $1.30 , $1.14 ,,
,15, $24.38 , $19.50 , $16.25 , $13.00 , $9.75 , $9.34 , $8.94 , $7.80 , $5.69 , $5.28 , $4.47 , $3.90 , $3.66 , $3.41 , $3.09 , $2.76 , $2.28 , $1.95 , $1.63 , $1.46 , $1.30 , $2.86 ,
,20, $27.63 , $21.94 , $17.88 , $14.22 , $10.97 , $10.16 , $9.75 , $8.94 , $8.13 , $7.15 , $6.09 , $5.28 , $4.88 , $4.47 , $3.66 , $3.25 , $2.76 , $2.44 , $2.28 , $2.03 , $1.63 , $3.58 ,
,25, $29.25 , $23.56 , $19.50 , $16.25 , $11.78 , $10.97 , $10.56 , $10.17 , $9.75 , $8.94 , $7.72 , $6.91 , $6.50 , $6.09 , $5.69 , $5.28 , $4.47 , $4.06 , $3.25 , $2.84 , $2.44 , $5.36 ,
,30, $32.50 , $26.41 , $22.75 , $19.50 , $14.63 , $12.19 , $11.78 , $11.38 , $10.97 , $10.16 , $8.94 , $8.13 , $8.13 , $6.91 , $7.31 , $6.91 , $5.28 , $4.47 , $3.66 , $3.25 , $2.84 ,,
,35, $34.13 , $27.63 , $24.38 , $21.13 , $17.88 , $14.63 , $13.00 , $12.19 , $11.78 , $11.38 , $10.97 , $10.16 , $9.34 , $8.53 , $8.13 , $7.31 , $6.91 , $6.50 , $4.88 , $4.06 , $3.25 ,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Tier 2: India, Mexico, China, Japan, Australia, Turkey, Russia",,,,,,,,,,,,,,,,,,,,,,,
,IR,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,15%,20%,25%,30%,40%,50%,60%,70%,80%,90%,100%,,
LOI,5, $24.96 , $18.72 , $14.56 , $10.40 , $8.84 , $7.80 , $7.28 , $6.24 , $5.20 , $4.68 , $4.16 , $3.74 , $3.64 , $3.33 , $3.12 , $2.70 , $2.08 , $1.87 , $1.46 , $1.25 , $1.04 ,,
,10, $28.08 , $20.80 , $16.64 , $13.52 , $11.44 , $10.40 , $9.36 , $7.80 , $6.24 , $5.20 , $4.47 , $4.16 , $4.06 , $3.95 , $3.54 , $3.12 , $2.60 , $2.08 , $1.87 , $1.66 , $1.46 ,,
,15, $31.20 , $24.96 , $20.80 , $16.64 , $12.48 , $11.96 , $11.44 , $9.98 , $7.28 , $6.76 , $5.72 , $4.99 , $4.68 , $4.37 , $3.95 , $3.54 , $2.91 , $2.50 , $2.08 , $1.87 , $1.66 , $318.86 ,
,20, $35.36 , $28.08 , $22.88 , $18.20 , $14.04 , $13.00 , $12.48 , $11.44 , $10.40 , $9.15 , $7.80 , $6.76 , $6.24 , $5.72 , $4.68 , $4.16 , $3.54 , $3.12 , $2.91 , $2.60 , $2.08 ,,
,25, $37.44 , $30.16 , $24.96 , $20.80 , $15.08 , $14.04 , $13.52 , $13.02 , $12.48 , $11.44 , $9.88 , $8.84 , $8.32 , $7.80 , $7.28 , $6.76 , $5.72 , $5.20 , $4.16 , $3.64 , $3.12 ,, $336.96 
,30, $41.60 , $33.80 , $29.12 , $24.96 , $18.72 , $15.60 , $15.08 , $14.56 , $14.04 , $13.00 , $11.44 , $10.40 , $10.40 , $8.84 , $9.36 , $8.84 , $6.76 , $5.72 , $4.68 , $4.16 , $3.64 ,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Tier 3: South Korea, Argentina, Vietnam, Malaysia, philippines, Singapore, Thailand, Poland, South Africa, Ireland, NL, Taiwan, Belgium, Sweden",,,,,,,,,,,,,,,,,,,,,,,
,IR,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,15%,20%,25%,30%,40%,50%,60%,70%,80%,90%,100%,,
LOI,5, $27.30 , $20.48 , $15.93 , $11.38 , $9.67 , $8.53 , $7.96 , $6.83 , $5.69 , $5.12 , $4.55 , $4.10 , $3.98 , $3.64 , $3.41 , $2.96 , $2.28 , $2.05 , $1.59 , $1.37 , $1.14 ,,
,10, $30.71 , $22.75 , $18.20 , $14.79 , $12.51 , $11.38 , $10.24 , $8.53 , $6.83 , $5.69 , $4.89 , $4.55 , $4.44 , $4.32 , $3.87 , $3.41 , $2.84 , $2.28 , $2.05 , $1.82 , $1.59 ,,
,15, $34.13 , $27.30 , $22.75 , $18.20 , $13.65 , $13.08 , $12.51 , $10.92 , $7.96 , $7.39 , $6.26 , $5.46 , $5.12 , $4.78 , $4.32 , $3.87 , $3.19 , $2.73 , $2.28 , $2.05 , $1.82 , $4.00 ,
,20, $38.68 , $30.71 , $25.03 , $19.91 , $15.36 , $14.22 , $13.65 , $12.51 , $11.38 , $10.01 , $8.53 , $7.39 , $6.83 , $6.26 , $5.12 , $4.55 , $3.87 , $3.41 , $3.19 , $2.84 , $2.28 , $5.01 ,
,25, $40.95 , $32.99 , $27.30 , $22.75 , $16.49 , $15.36 , $14.79 , $14.24 , $13.65 , $12.51 , $10.81 , $9.67 , $9.10 , $8.53 , $7.96 , $7.39 , $6.26 , $5.69 , $4.55 , $3.98 , $3.41 , $7.51 ,
,30, $45.50 , $36.97 , $31.85 , $27.30 , $20.48 , $17.06 , $16.49 , $15.93 , $15.36 , $14.22 , $12.51 , $11.38 , $11.38 , $9.67 , $10.24 , $9.67 , $7.39 , $6.26 , $5.12 , $4.55 , $3.98 ,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Tier 4: Denmark, Finland, Nowray, Colombia, Switzerland,",,,,,,,,,,,,,,,,,,,,,,,
,IR,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,15%,20%,25%,30%,40%,50%,60%,70%,80%,90%,100%,,
LOI,5, $34.32 , $25.74 , $20.02 , $14.30 , $12.16 , $10.73 , $10.01 , $8.58 , $7.15 , $6.44 , $5.72 , $5.15 , $5.01 , $4.58 , $4.29 , $3.72 , $2.86 , $2.57 , $2.00 , $1.72 , $1.43 ,,
,10, $38.61 , $28.60 , $22.88 , $18.59 , $15.73 , $14.30 , $12.87 , $10.73 , $8.58 , $7.15 , $6.15 , $5.72 , $5.58 , $5.43 , $4.86 , $4.29 , $3.58 , $2.86 , $2.57 , $2.29 , $2.00 ,,
,15, $42.90 , $34.32 , $28.60 , $22.88 , $17.16 , $16.45 , $15.73 , $13.73 , $10.01 , $9.30 , $7.87 , $6.86 , $6.44 , $6.01 , $5.43 , $4.86 , $4.00 , $3.43 , $2.86 , $2.57 , $2.29 , $5.03 ,
,20, $48.62 , $38.61 , $31.46 , $25.03 , $19.31 , $17.88 , $17.16 , $15.73 , $14.30 , $12.58 , $10.73 , $9.30 , $8.58 , $7.87 , $6.44 , $5.72 , $4.86 , $4.29 , $4.00 , $3.58 , $2.86 , $6.29 ,
,25, $51.48 , $41.47 , $34.32 , $28.60 , $20.74 , $19.31 , $18.59 , $17.90 , $17.16 , $15.73 , $13.59 , $12.16 , $11.44 , $10.73 , $10.01 , $9.30 , $7.87 , $7.15 , $5.72 , $5.01 , $4.29 , $9.44 ,
,30, $57.20 , $46.48 , $40.04 , $34.32 , $25.74 , $21.45 , $20.74 , $20.02 , $19.31 , $17.88 , $15.73 , $14.30 , $14.30 , $12.16 , $12.87 , $12.16 , $9.30 , $7.87 , $6.44 , $5.72 , $5.01 ,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Tier 5: Middle East, Hungary, Ukraine, Romania, Cz Republic, Greece",,,,,,,,,,,,,,,,,,,,,,,
,IR,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,15%,20%,25%,30%,40%,50%,60%,70%,80%,90%,100%,,
LOI,5, $46.80 , $35.10 , $27.30 , $19.50 , $16.58 , $14.63 , $13.65 , $11.70 , $9.75 , $8.78 , $7.80 , $7.02 , $6.83 , $6.24 , $5.85 , $5.07 , $3.90 , $3.51 , $2.73 , $2.34 , $1.95 ,,
,10, $52.65 , $39.00 , $31.20 , $25.35 , $21.45 , $19.50 , $17.55 , $14.63 , $11.70 , $9.75 , $8.39 , $7.80 , $7.61 , $7.41 , $6.63 , $5.85 , $4.88 , $3.90 , $3.51 , $3.12 , $2.73 ,,
,15, $58.50 , $46.80 , $39.00 , $31.20 , $23.40 , $22.43 , $21.45 , $18.72 , $13.65 , $12.68 , $10.73 , $9.36 , $8.78 , $8.19 , $7.41 , $6.63 , $5.46 , $4.68 , $3.90 , $3.51 , $3.12 ,,
,20, $66.30 , $52.65 , $42.90 , $34.13 , $26.33 , $24.38 , $23.40 , $21.45 , $19.50 , $17.16 , $14.63 , $12.68 , $11.70 , $10.73 , $8.78 , $7.80 , $6.63 , $5.85 , $5.46 , $4.88 , $3.90 ,,
,25, $70.20 , $56.55 , $46.80 , $39.00 , $28.28 , $26.33 , $25.35 , $24.41 , $23.40 , $21.45 , $18.53 , $16.58 , $15.60 , $14.63 , $13.65 , $12.68 , $10.73 , $9.75 , $7.80 , $6.83 , $5.85 ,,
,30, $78.00 , $63.38 , $54.60 , $46.80 , $35.10 , $29.25 , $28.28 , $27.30 , $26.33 , $24.38 , $21.45 , $19.50 , $19.50 , $16.58 , $17.55 , $16.58 , $12.68 , $10.73 , $8.78 , $7.80 , $6.83 ,,
